id,nome,calcio_mg,ferro_mg,zinco_mg,magnesio_mg,fosforo_mg,potassio_mg,selenio_ug,vitamina_a_ug,vitamina_d_ug,vitamina_e_mg,vitamina_c_mg,vitamina_b1_mg,vitamina_b2_mg,vitamina_b3_mg,vitamina_b6_mg,vitamina_b9_ug,vitamina_b12_ug,confidence,source_detail
379,Albicocche secche,55,2.7,0.4,32,71,1162,2.2,180,0,4.33,1,0.02,0.07,2.6,0.14,10,0,high,USDA FDC
706,Ananas essiccato,25,0.5,0.1,20,10,150,0.1,3,0,0.02,15,0.08,0.03,0.4,0.11,10,0,medium,USDA FDC dried pineapple
839,"Bacche di acai (polvere, 100%)",260,4.4,0.7,174,124,535,0,6,0,0,0,0.11,0.14,0.4,0.09,0,0,medium,USDA FDC acai powder
841,Bacche di aronia (chokeberry),30,0.6,0.5,16,23,162,0.4,6,0,1.2,21,0.02,0.02,0.3,0.03,25,0,medium,USDA FDC chokeberry
840,"Bacche di goji, essiccate",190,6.8,2.0,112,203,1132,50,1341,0,0,48.4,0.15,1.3,4.3,0.75,0,0,high,USDA FDC goji dried
703,"Banana plantano, cotta",3,0.6,0.1,37,34,499,1.5,56,0,0.14,18.4,0.05,0.05,0.7,0.3,22,0,high,USDA FDC plantain cooked
391,"Banana, essiccata (chip)",22,1.2,0.5,108,74,1491,3.9,4,0,0.3,7,0.18,0.24,2.8,0.44,14,0,high,USDA FDC banana chips
698,Carambola (star fruit),3,0.1,0.1,10,12,133,0.6,1,0,0.15,34.4,0.01,0.02,0.4,0.02,12,0,high,USDA FDC starfruit
922,Carambola (starfruit) essiccata,3,0.1,0.1,10,12,133,0.6,1,0,0.15,34.4,0.01,0.02,0.4,0.02,12,0,high,USDA FDC starfruit
386,"Cedro, fresco",34,0.4,0.1,8,16,123,0.4,1,0,0.15,38,0.04,0.02,0.2,0.06,11,0,high,CREA 2019
363,"Ciliegia, fresca",13,0.4,0.1,11,21,222,0,3,0,0.07,7,0.03,0.03,0.2,0.05,4,0,high,CREA 2019
385,"Clementina, fresca",30,0.1,0.1,11,21,130,0.1,12,0,0.2,48.8,0.09,0.03,0.4,0.06,24,0,high,CREA 2019
377,"Cocco, polpa fresca",14,2.4,1.1,32,113,356,10.1,0,0,0.24,3.3,0.07,0.02,0.5,0.05,26,0,high,USDA FDC coconut
695,Cocomero (anguria) a fette,7,0.2,0.1,10,11,112,0.4,28,0,0.05,8.1,0.03,0.02,0.2,0.05,3,0,high,CREA 2019
838,"Corbezzolo, fresco",30,0.5,0.1,10,20,180,0.3,5,0,0.3,15,0.03,0.03,0.3,0.05,10,0,medium,CREA 2019 stima
381,Datteri secchi,64,0.9,0.4,54,62,696,3,7,0,0.05,0,0.05,0.07,1.6,0.25,15,0,high,USDA FDC
380,Fichi secchi,162,2.0,0.5,68,67,680,0.6,0,0,0.35,1.2,0.09,0.08,0.6,0.11,9,0,high,CREA 2019
837,"Fico d'India (ficodindia), polpa",35,0.4,0.2,17,14,232,0.2,7,0,0.11,2,0.06,0.05,0.4,0.11,6,0,high,CREA 2019
364,"Fico, fresco",35,0.4,0.2,17,14,232,0.2,7,0,0.11,2,0.06,0.05,0.4,0.11,6,0,high,CREA 2019
