id,nome,calcio_mg,ferro_mg,zinco_mg,magnesio_mg,fosforo_mg,potassio_mg,selenio_ug,vitamina_a_ug,vitamina_d_ug,vitamina_e_mg,vitamina_c_mg,vitamina_b1_mg,vitamina_b2_mg,vitamina_b3_mg,vitamina_b6_mg,vitamina_b9_ug,vitamina_b12_ug,confidence,source_detail
936,Acciughe in pasta (tubo),200,4.0,1.5,50,220,500,60.0,18,10.0,0.9,0,0.07,0.3,17.0,0.12,9,5.5,medium,USDA anchovy paste
750,Acciughe sotto sale (lavate),232,4.6,1.7,60,252,544,68.1,20,11.0,1.0,0,0.08,0.36,19.9,0.14,10,6.2,high,USDA FDC anchovy canned
432,"Agnello, coscia cruda",10,1.6,3.5,22,188,310,10.5,0,0.1,0.2,0,0.1,0.22,5.7,0.3,16,2.6,high,CREA 2019 agnello coscia
727,"Agnello, coscio cotto al forno",12,2.0,4.2,24,210,290,12.0,0,0.1,0.2,0,0.08,0.25,5.5,0.25,14,2.8,high,USDA FDC lamb leg roasted
433,"Agnello, costolette crude",14,1.5,3.0,20,170,280,9.0,0,0.1,0.1,0,0.09,0.2,5.0,0.28,14,2.5,high,CREA 2019 agnello costolette
927,"Agnello, macinato cotto",16,2.0,4.1,22,195,275,12.0,0,0.1,0.2,0,0.08,0.24,5.3,0.25,13,3.0,high,USDA FDC ground lamb cooked
434,"Agnello, macinato crudo",13,1.6,3.4,20,175,290,10.0,0,0.1,0.2,0,0.1,0.21,5.2,0.3,15,2.7,high,USDA FDC ground lamb
505,"Albume d'uovo, cotto",7,0.1,0.01,11,15,163,20.0,0,0,0,0,0.0,0.44,0.1,0.01,4,0.1,high,USDA FDC egg white cooked
416,"Ali di pollo, cotte al forno",15,1.3,1.8,20,158,177,22.0,30,0.2,0.3,0,0.05,0.14,6.5,0.35,4,0.28,high,USDA FDC chicken wing baked
466,"Alici (acciughe), crude",148,2.5,1.7,41,174,383,36.5,15,11.0,1.0,0,0.06,0.26,14.0,0.14,9,6.2,high,CREA 2019 acciughe
719,"Anatra, coscia cotta",12,2.7,2.0,18,190,250,16.0,20,0.5,0.6,2,0.28,0.4,4.8,0.28,10,2.8,high,USDA FDC duck leg cooked
931,"Anatra, petto cotto al forno",12,4.0,2.2,20,220,260,16.5,20,0.5,0.6,2,0.3,0.5,5.5,0.3,11,3.2,medium,USDA FDC duck breast cooked
718,"Anatra, petto crudo (senza pelle)",10,3.5,1.8,19,203,271,14.0,24,0.5,0.7,2.8,0.36,0.45,5.3,0.34,13,3.0,high,USDA FDC duck breast raw
935,Anguilla affumicata,22,0.6,1.8,22,230,260,7.0,1100,20.0,3.5,1,0.12,0.04,3.0,0.07,12,2.8,medium,CREA anguilla cotta
748,"Anguilla di fiume, cruda",20,0.5,1.6,20,216,272,6.5,1043,23.3,4.0,1.8,0.15,0.04,3.5,0.08,15,3.0,high,CREA 2019 anguilla
496,"Aragosta, cotta",96,0.4,2.8,43,185,352,73.1,2,0,1.0,0,0.02,0.05,1.4,0.1,11,1.4,high,USDA FDC lobster cooked
866,Baccalà alla vicentina (piatto cotto),30,0.7,0.5,28,180,280,30.0,10,0.8,0.5,1,0.07,0.06,2.0,0.2,6,1.0,low,USDA FDC salt cod dish
729,"Bisonte (bufalo americano), macinato crudo",10,2.8,4.6,22,190,328,25.0,0,0.1,0.3,0,0.05,0.2,5.0,0.4,7,2.7,high,USDA FDC bison ground
751,Bottarga di muggine,40,2.0,1.5,55,350,420,50.0,100,5.0,3.0,0,0.15,0.3,5.0,0.2,15,10.0,medium,USDA FDC mullet roe
938,Branzino al cartoccio (cotto),20,0.5,0.5,32,210,290,40.0,40,2.8,0.5,0,0.08,0.1,1.8,0.25,12,3.5,medium,CREA branzino cotto
473,"Branzino, crudo",18,0.5,0.4,30,194,307,36.5,45,3.0,0.6,0,0.1,0.12,2.0,0.3,15,3.8,high,CREA 2019 branzino
458,Bresaola della Valtellina IGP,12,2.8,4.3,21,260,505,10.0,0,0.1,0.4,0,0.08,0.2,6.0,0.35,5,2.3,high,CREA 2019 bresaola
488,"Calamari, cotti",32,0.7,1.5,33,213,237,44.8,9,0,1.2,4.2,0.02,0.41,2.2,0.05,5,1.3,high,USDA FDC squid cooked
494,"Capesante, crude",24,0.4,0.9,22,334,205,12.8,2,0,0.5,0,0.01,0.02,0.7,0.07,16,1.4,high,USDA FDC scallop raw
728,"Capretto, carne cruda",13,2.8,4.0,23,180,385,8.8,0,0.1,0.2,0,0.1,0.49,3.8,0.4,6,1.1,high,USDA FDC goat raw
747,"Carpa, cruda",41,1.2,1.5,29,415,333,12.6,9,1.0,0.5,1.6,0.12,0.05,1.6,0.19,15,1.5,high,USDA FDC carp
435,"Cervo (capriolo), carne cruda",5,3.4,2.1,23,202,330,10.3,0,0,0.2,0,0.25,0.48,6.4,0.37,4,5.7,high,USDA FDC venison raw
930,"Cervo, coscia cotta",7,3.9,2.5,25,225,310,12.0,0,0,0.2,0,0.2,0.55,6.0,0.32,4,6.3,medium,USDA FDC venison cooked
871,Ceviche di branzino (piatto crudo),18,0.5,0.4,30,194,307,36.5,45,3.0,0.6,5,0.1,0.12,2.0,0.3,15,3.8,medium,CREA branzino + lime
741,Chorizo (salame spagnolo),11,1.6,2.8,18,200,340,16.0,60,0.5,0.3,0,0.35,0.2,4.8,0.32,3,1.1,high,USDA FDC chorizo
436,"Cinghiale, carne cruda",12,3.3,2.4,22,190,330,9.0,0,0,0.2,0,0.39,0.5,4.0,0.4,5,4.0,high,USDA FDC wild boar
929,"Coniglio, dorso cotto",18,1.6,1.8,22,230,330,15.0,0,0.1,0.2,0,0.04,0.14,7.2,0.32,8,7.2,high,CREA 2019 coniglio cotto
