id,nome,calcio_mg,ferro_mg,zinco_mg,magnesio_mg,fosforo_mg,potassio_mg,selenio_ug,vitamina_a_ug,vitamina_d_ug,vitamina_e_mg,vitamina_c_mg,vitamina_b1_mg,vitamina_b2_mg,vitamina_b3_mg,vitamina_b6_mg,vitamina_b9_ug,vitamina_b12_ug,confidence,source_detail
392,Noci pecan,70,2.5,4.5,121,277,410,3.8,3,0,1.4,1.1,0.66,0.13,1.2,0.21,22,0,high,USDA FDC pecan
393,Noci del Brasile,160,2.4,4.1,376,725,659,1917,0,0,5.7,0.7,0.62,0.04,0.3,0.1,22,0,high,USDA FDC brazil nut
394,Noci macadamia,85,3.7,1.3,130,188,368,3.6,0,0,0.54,1.2,1.2,0.16,2.5,0.27,11,0,high,USDA FDC macadamia
395,Noci di acagiù (anacardi) tostate,37,6.7,5.8,292,593,660,20,0,0,0.9,0.5,0.42,0.06,1.1,0.42,25,0,high,USDA FDC cashew roasted
396,Mandorle tostate (non salate),266,3.7,3.1,270,484,713,4.1,0,0,25.6,0,0.21,1.01,3.6,0.14,44,0,high,USDA FDC almond roasted
397,Nocciole tostate,114,4.7,2.5,163,310,680,2.4,1,0,15.0,3.8,0.64,0.11,1.8,0.56,113,0,high,USDA FDC hazelnut roasted
398,Pistacchi tostati (salati),107,3.9,2.2,121,490,1025,7.0,26,0,2.3,5.6,0.87,0.16,1.3,1.7,51,0,high,USDA FDC pistachio roasted salted
399,Arachidi crude,92,4.6,3.3,168,376,705,7.2,0,0,8.3,0,0.64,0.14,12.1,0.35,240,0,high,USDA FDC peanut raw
400,Semi di sesamo,975,14.6,7.8,351,629,468,34.4,0,0,0.25,0,0.79,0.25,4.5,0.79,97,0,high,USDA FDC sesame
401,Semi di canapa (sgusciati),70,7.9,9.9,700,1650,1200,0,1,0,0.8,0.5,1.28,0.29,9.2,0.6,110,0,high,USDA FDC hemp seed hulled
402,Tahini (pasta di sesamo),426,8.9,4.6,95,732,414,34.4,1,0,0.25,0,1.22,0.47,5.5,0.15,98,0,high,USDA FDC tahini
403,Burro di arachidi (naturale),43,1.7,2.8,168,358,649,4.1,0,0,9.1,0,0.15,0.1,13.4,0.44,87,0,high,USDA FDC peanut butter
404,Burro di mandorle,347,3.3,3.3,279,508,748,2.4,0,0,24.2,0,0.04,0.94,3.1,0.1,53,0,high,USDA FDC almond butter
405,Cocco rapé essiccato (non zuccherato),14,3.3,2.0,90,160,543,18.5,0,0,0.44,1.5,0.06,0.02,0.5,0.3,9,0,high,USDA FDC coconut dried
406,Semi di papavero,1438,9.8,7.9,347,870,719,13.5,0,0,1.77,1,0.85,0.1,0.9,0.25,82,0,high,USDA FDC poppy seed
407,Semi di cañamo macinati,70,7.9,9.9,700,1650,1200,0,1,0,0.8,0.5,1.28,0.29,9.2,0.6,110,0,high,USDA FDC hemp seed ground
408,Pinoli,16,5.5,6.4,251,575,597,0.7,1,0,9.3,0.8,0.36,0.23,4.4,0.09,34,0,high,USDA FDC pine nut
409,"Castagne, fresche",27,1.0,0.5,32,93,518,1.2,1,0,0.5,43,0.24,0.17,1.1,0.38,62,0,high,CREA 2019 castagna
410,Castagne secche,56,3.0,0.9,74,200,990,2.5,2,0,1.0,10,0.3,0.3,2.4,0.5,80,0,high,CREA 2019 castagna secca
411,"Semi di girasole, tostati",78,6.8,5.3,129,660,645,53,3,0,35.2,1.4,1.48,0.36,8.3,1.35,227,0,high,USDA FDC sunflower roasted
412,"Semi di zucca, tostati",46,8.8,7.8,550,1233,809,9.4,1,0,2.2,1.8,0.27,0.15,4.99,0.14,58,0,high,USDA FDC pumpkin seed roasted
413,"Noci, essiccate",98,2.9,3.1,158,346,441,4.9,1,0,0.7,1.3,0.34,0.15,1.1,0.54,98,0,high,USDA FDC walnut dried
414,Arachidi tostate e salate,54,2.3,3.3,176,397,726,7.5,0,0,7.8,0,0.44,0.1,13.5,0.26,145,0,high,USDA FDC peanut roasted salted
709,Noci di macadamia tostate (salate),70,2.7,1.3,118,198,363,3.6,0,0,0.54,0.7,0.71,0.1,2.5,0.28,11,0,high,USDA FDC macadamia roasted salted
710,Arachidi bollite,55,2.2,3.3,65,134,180,7.5,0,0,3.0,0,0.15,0.06,5.3,0.07,40,0,high,USDA FDC peanut boiled
711,Mix di frutta secca e semi,78,3.5,3.5,200,400,600,8,1,0,8.0,0.5,0.5,0.2,4.0,0.3,60,0,medium,stima media composita
712,"Cocco, latte in polvere",6,1.5,0.8,46,100,325,6.3,0,0,0.2,1.0,0.03,0.02,0.8,0.03,16,0,medium,USDA FDC coconut milk powder
713,Noci pecan tostate,70,2.5,4.5,121,277,410,3.8,3,0,1.4,1.1,0.66,0.13,1.2,0.21,22,0,high,USDA FDC pecan
714,Semi di sesamo tostati,975,14.6,7.8,351,629,468,34.4,0,0,0.25,0,0.79,0.25,4.5,0.79,97,0,high,USDA FDC sesame
715,Semi di lino tostati,255,5.7,4.3,392,642,813,25.4,0,0,0.31,0.6,1.64,0.16,3.1,0.47,87,0,high,USDA FDC flaxseed
716,Burro di girasole,50,5.0,5.0,120,500,580,40,3,0,26.1,1.0,0.4,0.3,6.5,0.8,200,0,medium,USDA FDC sunflower butter
847,Mandorle pelate e blanched,236,3.7,3.1,268,481,705,2.5,0,0,25.6,0,0.21,1.01,3.6,0.14,44,0,high,USDA FDC almond blanched
848,Nocciole fresche (non tostate),114,4.7,2.4,163,290,680,2.4,1,0,15.0,6.3,0.64,0.11,1.8,0.56,113,0,high,USDA FDC hazelnut raw
849,Farro soffiato,18,2.5,1.5,40,120,180,5,0,0,0.3,0,0.15,0.08,2.5,0.15,25,0,medium,CREA 2019 farro
850,Riso soffiato,6,1.0,0.8,25,78,100,5,0,0,0.1,0,0.07,0.03,3.5,0.1,8,0,medium,CREA 2019 riso soffiato
