id,nome,calcio_mg,ferro_mg,zinco_mg,magnesio_mg,fosforo_mg,potassio_mg,selenio_ug,vitamina_a_ug,vitamina_d_ug,vitamina_e_mg,vitamina_c_mg,vitamina_b1_mg,vitamina_b2_mg,vitamina_b3_mg,vitamina_b6_mg,vitamina_b9_ug,vitamina_b12_ug,confidence,source_detail
307,"Aglio, fresco",181,1.7,1.2,25,153,401,14.2,0,0,0.01,31.2,0.2,0.11,0.7,1.24,3,0,high,CREA 2019
348,"Asparagi, cotti",23,0.9,0.6,14,54,224,6.1,38,0,1.5,7.7,0.14,0.13,1.0,0.07,149,0,high,CREA 2019
679,"Avocado, polpa",12,0.6,0.6,29,52,485,0.4,7,0,2.07,10,0.07,0.13,1.7,0.26,81,0,high,USDA FDC
315,"Barbabietola rossa, cruda",16,0.8,0.4,23,40,325,0.7,2,0,0.04,4.9,0.03,0.04,0.3,0.07,109,0,high,CREA 2019
316,"Barbabietola, cotta",16,0.8,0.4,23,38,305,0.7,2,0,0.04,3.6,0.03,0.04,0.3,0.07,80,0,high,CREA 2019
356,"Basilico, fresco",177,3.2,0.8,64,56,295,0.3,264,0,0.8,18,0.03,0.08,0.9,0.16,68,0,high,USDA FDC
833,"Bietola rossa, cruda",51,1.8,0.4,81,46,379,0.9,306,0,1.89,30,0.04,0.09,0.4,0.1,14,0,medium,CREA 2019 bietola
328,"Bietola, cotta",58,1.8,0.4,86,46,379,0.9,306,0,1.89,18,0.03,0.09,0.4,0.09,9,0,high,CREA 2019
683,"Bietole colorate (arcobaleno), cotte",55,1.8,0.4,84,46,379,0.9,306,0,1.89,18,0.03,0.09,0.4,0.09,9,0,medium,CREA 2019 bietola
668,Broccoletti (cime di broccolo),40,0.7,0.4,22,60,300,1.0,30,0,0.7,80,0.07,0.1,0.6,0.17,60,0,medium,USDA broccoli rabe
828,"Broccoli romanesco, crudi",32,0.5,0.3,17,50,280,0.7,20,0,0.5,60,0.06,0.07,0.5,0.16,50,0,medium,CREA 2019 cavolfiore
691,Cachi (persimon) secchi,8,0.2,0.1,9,17,161,0.6,81,0,0.73,7.5,0.03,0.02,0.1,0.1,8,0,high,USDA FDC persimmon
689,Capperi sotto sale (dissalati),40,1.7,0.3,33,10,40,1.2,7,0,0.88,4.3,0.02,0.14,0.7,0.02,23,0,high,USDA FDC
322,Catalogna (puntarelle),74,0.8,0.3,12,31,182,0.3,267,0,0.4,10,0.03,0.06,0.3,0.06,48,0,high,CREA 2019
825,Cavoletti di Bruxelles arrosto,36,1.2,0.3,20,56,317,1.5,35,0,0.7,62,0.1,0.07,0.6,0.18,50,0,medium,CREA cavoletti cotti
318,"Cavolfiore, crudo",22,0.4,0.3,15,44,299,0.6,0,0,0.08,48.2,0.05,0.06,0.5,0.18,57,0,high,CREA 2019
317,Cavolo broccolo (broccoletto),47,0.7,0.4,21,66,316,2.5,31,0,0.78,89.2,0.07,0.12,0.6,0.18,63,0,high,CREA 2019
681,Cavolo cappuccio viola,45,0.8,0.2,16,30,243,0.6,56,0,0.11,57,0.06,0.07,0.4,0.21,18,0,high,USDA FDC
358,"Cavolo cappuccio, cotto",40,0.5,0.2,12,26,170,0.3,5,0,0.15,36.6,0.06,0.04,0.2,0.12,43,0,high,CREA 2019
320,"Cavolo di Bruxelles, cotto",36,1.2,0.3,20,56,317,1.5,35,0,0.7,62,0.1,0.07,0.6,0.18,50,0,high,CREA 2019
319,"Cavolo di Bruxelles, crudo",42,1.4,0.4,23,69,389,1.6,38,0,0.88,85,0.14,0.09,0.7,0.22,61,0,high,CREA 2019
912,Cavolo nero toscano (cotto),130,1.2,0.5,40,73,350,0.8,450,0,1.2,70,0.07,0.1,0.7,0.2,80,0,medium,USDA FDC kale cooked
911,Cavolo nero toscano (crudo),150,1.5,0.6,47,92,491,0.9,500,0,1.5,120,0.11,0.13,1.0,0.27,141,0,high,USDA FDC kale
321,"Cicoria, cruda",100,0.9,0.4,30,47,420,0.3,286,0,2.3,24,0.06,0.1,0.5,0.11,110,0,high,CREA 2019
359,Cime di rapa,97,1.1,0.4,22,65,390,0.7,225,0,0.8,110,0.09,0.17,1.0,0.17,83,0,high,CREA 2019
829,"Cipolla di Tropea, cruda",20,0.2,0.2,10,27,140,0.5,0,0,0.02,6,0.04,0.03,0.1,0.1,18,0,medium,CREA 2019 cipolla
330,Cipolla rossa,23,0.2,0.2,10,29,146,0.5,0,0,0.02,7.4,0.05,0.03,0.1,0.12,19,0,high,CREA 2019
331,Cipollotto (scalogno),72,1.5,0.4,20,37,276,0.6,50,0,0.55,8,0.06,0.02,0.5,0.06,64,0,high,CREA 2019 scalogno
354,Crescione (watercress),81,0.2,0.1,21,60,330,0.9,160,0,1.0,43,0.09,0.12,0.2,0.13,9,0,high,USDA FDC
345,Daikon (ravanello giapponese),27,0.4,0.2,16,23,227,0.7,0,0,0,22,0.02,0.02,0.2,0.05,28,0,high,USDA FDC
680,Edamame (baccelli cotti interi),63,2.3,1.4,64,169,436,0.8,9,0,0.68,6.1,0.2,0.16,1.3,0.1,311,0,high,USDA FDC edamame
913,"Erba cipollina, fresca",92,1.6,0.4,42,58,296,0.9,218,0,0.21,58,0.08,0.12,0.6,0.14,105,0,high,USDA FDC chives
686,"Finocchi, crudi",49,0.7,0.2,17,50,414,0.7,7,0,0.58,12,0.01,0.03,0.6,0.05,27,0,high,CREA 2019 finocchio
349,"Finocchio, cotto",49,0.7,0.2,17,50,414,0.7,7,0,0.58,12,0.01,0.03,0.6,0.05,27,0,high,CREA 2019
832,Friggitelli (peperoni piccoli verdi),10,0.3,0.1,10,20,175,0.1,18,0,0.37,80,0.06,0.03,0.5,0.22,10,0,medium,CREA 2019 peperone verde
342,Funghi pleurotus (ostrica),3,1.3,0.8,18,120,420,3.0,0,0.4,0.01,0,0.13,0.35,5.0,0.1,38,0,medium,USDA FDC oyster mushroom
340,"Funghi porcini, crudi",5,0.6,0.8,12,100,350,7.0,0,0.3,0.01,3,0.1,0.45,4.0,0.1,20,0,medium,CREA 2019 porcini
690,Funghi secchi (porcini reidratati),10,1.2,1.6,24,200,700,14,0,0.5,0.02,4,0.2,0.8,7.2,0.2,40,0,medium,USDA FDC dried mushroom
341,"Funghi shiitake, crudi",2,0.4,1.0,20,112,304,5.7,0,0.4,0.01,0,0.02,0.22,3.9,0.29,13,0,high,USDA FDC shiitake
676,"Germogli di bambù, in scatola",13,0.5,1.1,3,59,533,0.8,1,0,1.0,4,0.15,0.07,0.6,0.24,7,0,high,USDA FDC bamboo shoots
353,Germogli di pisello,15,0.8,0.5,18,50,140,0.5,12,0,0.08,10,0.06,0.1,0.5,0.07,40,0,medium,USDA FDC pea shoots
352,Germogli di soia,13,0.9,0.4,21,54,149,0.6,1,0,0.1,13.2,0.08,0.12,0.7,0.09,61,0,high,USDA FDC soybean sprouts
329,Indivia belga (witloof),19,0.2,0.2,10,26,211,0.2,1,0,0.11,2.8,0.06,0.03,0.2,0.04,37,0,high,CREA 2019
670,Indivia riccia,19,0.2,0.2,10,26,211,0.2,1,0,0.11,2.8,0.06,0.03,0.2,0.04,37,0,high,CREA 2019
666,Insalata mista (mix lattuga/radicchio),19,0.6,0.6,13,40,302,0.9,27,0,2.26,8,0.02,0.03,0.3,0.06,60,0,high,CREA 2019
325,Lattuga romana,33,1.0,0.2,14,30,247,0.4,436,0,0.13,24,0.07,0.07,0.3,0.07,136,0,high,USDA FDC
685,"Mais dolce in scatola, sgocciolato",2,0.5,0.5,37,89,270,0.6,10,0,0.07,6.8,0.2,0.06,1.7,0.06,46,0,high,CREA 2019
351,"Mais dolce, chicchi cotti",2,0.5,0.5,37,89,270,0.6,10,0,0.07,6.8,0.2,0.06,1.7,0.06,46,0,high,CREA 2019
339,"Melanzane, grigliate",7,0.2,0.1,11,18,172,0.2,1,0,0.25,1.3,0.03,0.02,0.5,0.07,14,0,medium,CREA 2019 melanzana cotta
914,Menta fresca,243,5.1,1.1,80,73,569,0.3,212,0,0.73,31.8,0.08,0.27,1.7,0.13,114,0,high,USDA FDC spearmint
667,Misticanza (mix erbe e foglie),50,1.0,0.3,20,35,300,0.3,200,0,0.5,15,0.05,0.07,0.3,0.07,70,0,low,stima media insalate miste CREA
673,"Okra (gombo), cruda",82,0.6,0.6,57,61,299,0.7,36,0,0.27,23,0.2,0.06,1.0,0.22,60,0,high,USDA FDC okra
361,Olive nere (in salamoia),88,3.3,0.2,4,3,8,0.9,20,0,1.65,0,0,0,0.04,0.01,0,0,high,CREA 2019
362,Olive verdi (in salamoia),52,0.5,0.04,11,4,42,0.9,56,0,3.81,0,0.02,0,0.24,0.03,3,0,high,USDA FDC
917,Origano fresco,310,3.3,0.9,50,76,312,1.0,230,0,1.69,2.3,0.04,0.32,4.6,1.04,274,0,high,USDA FDC oregano fresh
324,"Pak choi (bok choy), crudo",105,0.8,0.2,19,37,252,0.5,223,0,0.09,45,0.04,0.07,0.5,0.19,66,0,high,USDA FDC bok choy
688,Passata di verdure mista,20,0.4,0.2,12,25,200,0.3,100,0,0.5,10,0.04,0.04,0.4,0.08,20,0,low,stima media verdure cotte CREA
347,"Pastinaca, cruda",36,0.6,0.6,29,71,375,1.8,0,0,1.49,17,0.09,0.05,0.7,0.09,67,0,high,USDA FDC
827,Patate al vapore (no sale),8,0.3,0.3,20,40,328,0.3,0,0,0.01,7.4,0.1,0.02,1.3,0.3,9,0,medium,CREA 2019 bollite
312,"Patate dolci (batata), crude",30,0.6,0.3,25,47,337,0.6,709,0,0.26,2.4,0.08,0.06,0.6,0.21,11,0,high,USDA FDC sweet potato
